Sentence,Emotion
죄송합니다 ㅠㅠ육,1
 공격에선 체력저하로 세컨볼 획득 안됨..,2
김기춘이랑 우병우 이색히들은 공개처형시키고싶다,0
축하해요~~~^^♡,3
친박이라는 종자들 라임 탄핵후 일거에 정리해야할 것,2
남들은 사람들과 어울리고 대화하는것이 너무쉬운것같은,1
항상 열심히 하는 모습 보기 좋아요,3
메시 메시 메시..,3
두고두고 역사에 남아 조롱받을 년.,0
자기취향이니말도못하고미치겄네요ㅜ,1
 제발 기자새퀴야 헛소리좀 하지마라,0
캔커피줬으니까 김영란법으로 드론 고소 ㄱㄱ,2
대모도돈받고하는 더러운국민성!!,0
갤레기 폭탄 어떻게 만들지 순시리한테 보고하냐 ㅋㅋㅋ,0
가만뒀음 최태민 동상에 절 안한다고 잡혀갔을듯,2
대통령님! 화이팅!! 존경합니다.,3
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 중국한테 간신히 이겨서 암걸렸는데 이 기사보고 암이 나았습니다,3
쉬는 시간에 오답이나 맞추고 있으면 모교로 돌아가서 중간고사 기말고사나 봐야지,2
어떻게해야 빨리 잊을수있을까요,1
싫으니까 삼성산다 ㅋㅋ,2
정말 제가 살아야 되는건지...,1
어차피 컵스가 올라갈건데 야구나해라,2
특검팀..힘내세요.,3
  저렇게 드시면 면전에서 욕해드려요~,3
주연배우들도 좋지만 공시생3인방이나 학원쌤들의 감초연기도 넘좋다~,3
역시 사업가출신이라 사람을 길들이는법을 아네,2
엘지 알바마저 할말을 잃은건가...,2
여기엔 검찰도 공범이지,2
"고속도로에서 안전벨트 안 하고 있다가 사고났을때 치료비, 보상금 반절로 줄이면 다 해결됨.",2
복에겨운소리일수있지만일이너무없는거도 정말힘드네요ㅠㅠㅠ,1
제가 여태껏 특별하게 뭘해준적이없어요...,1
야 그냥 중국 전역에 미사일좀 쏴라,0
당연히 탑재해야 되는거 아닌가,1
 서로합의하에 헤어지자니 너무 가혹하네요,0
제가 지금 밀땅하는것도 아니고 헤어지긴 싫고..,1
완장 하나만 차면 미쳐가는 인간 쓰레기!,0
주지훈 이준기 강동원 이중에 답이 있는듯,2
최순실 딸답게 연기를 참 잘해.,0
김성근 니 이빨 다 뽑아버린다,0
택배기사님 정말 감사합니다~ 죄송합니다~,3
 선진국처럼 나이들면서 삶의 만족도가 높아져야한다.,1
여기다 이런글 써도 되는지 모르겠지만마음정리를 할  수 있는곳이 필요해서 염치 불구하고글을 씁니다....,1
월드클레스 GD 형님 응원합니다,3
청소부 근로자님들 정말 고맙네요..,3
지금 내려가면 국민혈세로 연금줘야해..ㅡㅡ,0
우리 오지환 킹지환 갓지환은 사랑입니다 ♥? 문천재도 멀티홈런 멋졌어요 ^^,3
듣던중 반가운 소식 박근혜 얼른 데려가라,0
나나는 연기 잘해서 기대된다,2
2002년 월드컵때 보다 2배 넘게 모였다,3
ㅋㅋㅋ 3대가 먹고살돈 벌어놨는데뭐,2
홍완선이 물고문 시켜서 다 불게하라..,0
저년 찢어 즉이야한다,0
고민이 없어서고민 ㅜ0,1
강력대응하세요!!,0
 너무 축하드려요 ㅠㅠ,3
"짱께들은 산해경 고 , 우리는 뽀로로 고 ...",2
300 만은 더 될거 같은데..,3
한심한 개.......사ㅣ끼들!!!!!,0
저희랑반대여서넘부러웠어요ㅋ..,1
개인사로 대통령 직위를 이용하다니이게 나라냐?,0
'혼란스러울 땐 정도를 가라' 는 말이 있다.,2
뭘 교환이야 환불하고 다른거사,2
막막하네요 흐잉,1
맘들 방법좀공유해주세요ㅜㅜ?!,1
특검 믿음직하지 말입니다. 박근혜 이재용 수사 제대로 하고 있지 말입니다,3
박근혜를 중형으로 다스려라 아주 질이 나쁜 녆인 듯,0
어느나라건 싼건 다 이유가 있지......,2
이래 설레발쳐봐야 결과는 뻔함1차전 경기종료후 예상댓글베댓: 날뛰던칠쥐들 다 어디갔냐ㅎㅎㅎ 엔씨바른다던 입쥐들 어디감??ㅋㅋ,3
수비강조는 실컷얘기하면서다친투수는 왜 모르쇠로 일관하냐혹사가아니라서그런가,0
할머니 용기에 박수를보낸다,3
 트윗 지금 봤는데 넘 예뻐..,3
진실은 반드시 밝혀져야한다.,0
와..진짜 쓰레기네,0
안보같은 소리하네 안보가 중요한데 세월호 때랑 옥시때 그리많이 죽였냐?이 쓰 ㄹ. ㅔ. 기 정부야,0
 지금 멘붕이에요 좋긴한데 ㅠㅠㅠ,1
언제나 매 게임게임마다 최선을 다하는 모습을 보면...,3
이제 헤어짐이 눈앞에 온거같아서.,1
교대49 분 전아 조아조아조아좌오자와조아조아ㅗ,3
정한오빠 생일을 진심으로 축하해요,3
아마 아무도 지쳐있는 날 모르겠죠,1
특검 저 새끼들도 삼성 장학금 받고 다 짜고 치는 넘들인데 뭔 힘내라고 난리냐 개이버 꼴통들 멍청한거냐 순진한거냐,0
응 애플쓸꺼야 이제부턴,2
요금제는 3기가쓰지만 와이파이때문에 10기가이상쓰고있음,2
조 9단 역시 전설답소,2
부자 감세란다 ㅋㅋㅋㅋㅋㅋㅋㅋ,2
동수이후 미스터엘지의계보는 용빈이라고 나는 감히이야기하고 싶다,3
이것들의 실체는 우익보수로 신분세탁한 빨갱이들과 친일파와 박정희일가 노비들임,0
헬쥐야 이걸지냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3
아ㅜ아버지 어머니들 힘내세요..,3
개귀욤 ㅎㅎㅎ,3
제목 너무 자극적이게 뽑았다,2
고등학교때 왕따를 당해서 지금까지 친구없이 지내왓습니다,1
이번 설에 어떻게 할지 고민입니다.,1
매일매일이 영화의 한장면이네..,3
여자친구 없는게 이해가 안되네요0,1
따라하기 좋은 래시피 감사합니다.,3
 현재 영국은 축제의 장입니다.,3
엘지 지못미 ㅠㅠ .,1
미국은 오래 걸리는걸...,1
나라를 엉망으로 해놓고 잘못업다는 너희들은 극형으로 다스려야 한다,0
감사합니다.,3
기분 좋은 맘으로 요리를 하면 맛도 업!,3
ㅡㅡ꺼져라 뭘 잘했다고 활동이냐,0
이게 박근혜임,0
 얘네야말로 돈받고 위안부 문제 입닫을 친일 국가...,0
이 세상에 태어나 주셔서 감사합니다.,3
방귀 낀 놈이 성 낸다 더니. 어이가 없네.,0
좀 쿨하다잉??~~,2
소년이 온다는 미래 노벨문학상 수상작이다.,2
" 정치 욜라 잘해서 경기가 활성화 된다는 기사도 보고 싶고, 진짜 일꾼처럼 지역위해 힘쓰는 국회의원 칭찬하는 훈훈한 기사도 함 보고 싶다...ㅠㅠ",3
물 들어오니까 제트엔진 달았네,3
가르쳐 주시는 요리 잘 따라하며 재미있게 배울게요^^,3
한국 최종예선탈락 50%이상.ㅠ.ㅠ,1
개고기 레알 밥도둑,2
이정도면 인류애가 넘치는 사람 인거다.,3
오늘 멜빵춤 좋앗어요 ㅋㅋㅋㅋ,3
 그리고 자기소개서는 어떻게 써야합격할수있을까요 ...,1
 부담스러워하는게 맞는거겠지,1
네 다음 병신년 of 병신년,0
"포켓몬, 디지몬... 어릴적 최고의 만화",3
유재석 오라버니 16일 밤 해피투게더 보는 시간에지난 주 게스트도 나오시고 두번째 게스트 나오시는 것도 봤어요,3
생각보단 이쁘네 화장하면 상당히이쁠듯 목소리도 섹시하고 의외네,3
재들은 대신 연봉 마니받잔아,2
제가 감히 생각해보건데 형의 장점은 ...우선 타격에서 그 타고난 감각으로 안타를 정말 잘 치는 것같아요...,3
 너무힘들다.,1
한국은 대피보다는 주의하면서 일상생활하라고 하지....,2
울점장 좀 ㄸ라이기질이있음요 ㅠㅠ,1
 썩은내 구린내 나는 삼성은 꺼져라.,0
참여해주신분들 감사합니다.^^,3
 카메라 보안용 스티커 부착하고!!,1
그네 순실 거기에 하나만 더있었어도 번식가능했단 이야기 아냐,0
 생신축하합니다~,3
역시 천상 골키퍼 브라보!,3
그사람은 진짜로 행복한걸까요?,1
아니 잡아놓고 못데려오는거냐!!,0
백주부님 팬인데...,3
이런 상황까지 몰고간 이따위 미친 세상을 너무나도 증오한다!!!,0
위증죄를 엄벌에 처하도록 법을 계정해야됨..,0
서인국씨~ 너무 고생 많았고 너무 멋지게 루이를 연기해 주셔서 감사합니다.,3
외모는 충분히 이쁘다..,3
세금은 여기저기서 다떼가는데 떼감과에 동시에 저런데에 한방에 날려버리니 안빡1칠수가없다.,0
엄마랑 아빠랑 이혼하셔서 따로 살고 자주 보지도 못하는데 너무 죄송하다 ... ㅠㅠㅠㅠㅠㅠ,1
채식주의자가 생각난다,3
리스펙.......,3
응원합니다. 화이팅,3
헤어진지 이제 2주...,1
악플러 고소는 잘하는 일,2
언제나 당신 곁엔 모든 lg트원스 펜들이 함께할 겁니다.,3
삼 ~` 성 애플 따라하믄 안돼지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
내가 맨유의 신ㅇㅣ다.,2
삼족을 멸하지를 못하는게한스럽다.,0
우리나라 화력시범 비교하면 돛밥들이네?깔깔까,2
아침에 딱 눈뜨면 오늘은 뭐하지..,1
이상한놈ㅋㅋ나쁜놈꼭잡아야,0
미안하고..,1
중요한건 연비다,2
 진짜 급해요,1
최초 신고자가 항공기 기름값도 아껴 줬구만.,2
박근혜의 탄핵여부가 중심인 이 시국에서 세월호 7시간의 진실과 세월호 인양문제는 절대 빠져서는 안될 논점이다.,0
강한울에 대한 기대치가 높다는건가?? 최재원 삼성 입장에선 너무 쉽게 놔준거 같음.,0
옛날처럼 주리라도 틀고싶다.,0
 욕심작작내고 경비원배치 4면 의무화법시켜라!!,0
중국산의 위협이네,2
즐라탄 이 쉐리는 발기술 전나 좋은데 드리블을.안치냐,3
이제 일반인도 거짓말하기시작하네,0
난 한번도 내가 좋아하는사람 못 만나봐쓰..,1
차선 바꾸는것도 있으면 좋겠음 ㅠㅠ,0
 코딱지먹은놈으로 되서 존나 슬픔 ㅠㅠ,1
일본은 사상은 싫어하지만 저런건 좀 부럽다,1
"우리, 다른사람들이랑 달라서 옆에서 아무리 뭐라해도 결국엔 만날 거 알잖아요.",1
원픽 많대매ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
 고민중 일하는 내내 그러네요,1
 이제 토익준비 시작합니다..,1
여자친구넘나이뿌다ㅜㅜ,1
진짜나오는커플마다 너무웃기고 즐거웠는데 끝이라니허,1
차인표 라미란이 그냥 베스트커플하나로 끝이라니 ㅡㅡ,0
마운드에 그의 모습은 정말 멋있다..,3
 열받아서 미쳐버리겠네요,0
반할 명장설 ㅋㅋㅋㅋㅋㅋ,2
누가봐도 메달 가능성 전혀 없겠는데 웃고간다 푸하하하하,3
산왕은 19년간 소리없이 강했다,2
생각없는 ㅉㅉ 진짜 때려주고싶네,0
오빠 아까 해투 잘봣어요ㅋㅋ,3
전 갑자기 급 고민이생긴 상병곰신입니당ㅠㅠ,1
기사제목이 날으는 이었나봐요,2
대본과 연출 좀 허접하지만 그래도 7프로대 드라마는 절대 아니다.,3
청승떤다 . 닭근해 ㅉㅉㅉ,0
현수 까는넘들 현수 100분의1도 못따라가는 새키들 뛰ㅣ!!!,0
생쑈를 경험하네요 ㅋㅋㅋ,2
좀 걱정되요 ㅠㅠ,1
피드백 감사....,3
이제 맨유 우승승점으로 ㄱㄱ,3
학원가 시키들 돈도 마니 벌고 좋겠네,1
진심 어제보여준경기력이국대임?올림픽대표가더잘한다갈아치워라ㅡㅡ,0
이건 뭐폐인되겠어,1
만세ㅜㅜㅜㅜㅠ탈큡만세ㅜㅜㅜㅜ쉽지않은 결정이였을텐데 너무 고마워요,3
땀 빼는게 최고인듯0,3
성공 커플 ㅠㅠㅠㅠㅠㅠ,3
아는게 있어야지 하나도모르겟어요 ㅜㅜㅜㅜㅜ,1
날 사랑해줘서 고마웠어.,3
 시간이 빨리 지나갔으면 좋겠어요,1
백샘 덕분입니다.,3
역겨운 여자... 면상 보기도 싫다!,0
요리프로그램에서 초보들도 따라할수 있도록 설명 잘해주십니다.,3
아직도 이런 생각을 한단 말인가요!!,1
징시호는 분위기 파악하고 포기한듯. 어차피 이렇게된거 속시원히 다 불어라. 너와아들이 한국에서 살길이다.,2
삼성에서 백넘버 11번 달듯.. 1번은 윤성환이 버티고 있고 22번은 영구결번 조현근 이번에 방출되었으니 11 달듯,2
"마린시티 멀지안아 침수,몰?!",2
제발 좀 꺼져라 망할x년아,0
더 어려워야 하고 10년주기로 갱산해야 한다.,2
나중에 만나기로했는데 뭐라고말해야 붙잡을수있을까요?,1
16년째 남몰래 하면 얼마나 좋았을까~~~~,1
무조건 증정이니 해볼만 한 이벤트같네요~,3
동구청 삽으로 퍼다 버려라,0
수소차가 지구멸망만 시키지않는다면 좀 더 끌리긴한데 가격이나 인프라나 10년은 더 걸리겠지,2
증거도 없는데 억지로 잡아 넣으려 하니까 그렇지ㅉㅉ,0
한국시리즈보다가 월드시리즈보니 눈호강이네,3
번역하는거 진짜 쉬운일 아님 ㅠㅠㅠ,1
너무 일찍 교체해서후반이 걱정스럽드만예상된 결과네,2
 이나라 근성 아님?,0
수돗물에서 피가나온다 태워라!,0
둘이 끝까지가겟나????,2
나는 지금도 초딩에겐 2천원 중고딩에겐 만원주는데 돈받고 기쁜표정을 안보이면 바로 뺏어서 불우이웃돕기에 보낸다.,2
유라는 좋겠네ㅋㅋㅋ,1
서울구치소가 최순실 안방이냐!!!!!!!!!!!!,0
인스턴트가 심각한 영양 불균형을 가져오는군...?,2
스크가 드뎌 가을야구의 주인공으로 자리잡을날이 오네요 감사합니다,3
로봇팔로 스타이기면 정말 소오름 돋을듯,2
 땀냄새 땀으로인한불쾌감 안그래도 밀착으로인한 성추행도 모자르시나요?,0
그래도 이제 밤엔 션해서 좋아용,3
매일 살고 싶은데 방도가 없어요,1
노무현도 하는데 왜 박근혜 각하가 여자라고 뭐라하냐,2
일본은 그냥 다 사라져라,0
머리털을 다 쥐어뜯어버리고싶다,0
남친이 항상 내가 첫사랑이자 끝사랑이라고 늘 노래를 불렀음 ㅋㅋ,3
진짜 죽고싶다,1
자자 애기는 다른사람이 봐주기로 하고 일단 입국하는게 좋겠다.,2
ㅋㅋ.. 보니 삼성이 디자인은 침해했다는 게 맞네 ㅋㅋ 에휴,2
박근혜가 탄핵 당하지 않고 아직도 있었으면 2017년은 개1병언신년인가?,0
목줄 않한 개가 당신의 아이를 물어버린다면,2
  34명정도되는 같은반 아이들과 지내는것도 힘들어요,1
수술이 끝나고 면회를 갔는데제 손을 꼭꼭 잡아주셨어요..,3
흰달걀있네,2
그냥 답답하다....,1
저게 무슬림의순교냐?,0
그런데 너무 바빠요...,1
쉽고 맛있는 레시피 감사드려요~~~,3
그래서 제가 걱정되서 뭔일 잇냐고 근데 그건아니래요,1
색다른 면을 느끼게 해줘서 감사합니다.,3
우리 6.25때는 아마 더 했지? ......,2
 서민들은 어떻게 살라고 계속 오르는지..,1
솔직히 1박2일 지킨건 김종민이지..,2
비왔다는중부지방은어디어요?,2
견찰새끼들은 믿을 수가 없음.,0
오늘?공개한 1차 모션 포스터를 보니이건 꼭 봐야한다는 사명감이 든다ㅠㅠ,3
의인왕후 박씨 장례도감인가염,2
잠을 못자서 스트레스가 장난 아님...ㅠㅠ,1
남자크루 같았으면 snl 폐지하자고 난리부르스를 쳤을텐데ㅋㅋ,3
이제 확신이 생겼니더이상 기대하면 안되는거니,1
박대통령이 국격을 너무떨어뜨려놨다.,1
"안녕하세요.주변 지인분께 선물할 아기 용품을 하려고 하는데요,",3
 감정적으로만 대웅하고.....,1
새해부터 거짓말로 한해 시작하는 사람도 있내요,0
와 터키 남자의 나라네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 북한도 보고 배워야 한다,2
 애는 취직했니?,2
이사람 인사도 엄청 말이 많았죠?,2
영국을 희생양 삼아 유럽을 위시한 세계경제가 발돋음할 기회로군.,2
"뇌물현이 싸놓은 거대한 똥, 세종시",0
얼마나 좋을까?....,1
병원장이 문젠데 꼬리를 자르네....,2
저는 아직까지 한통의 전화와 편지가 오지 않았네요ㅠ,1
부럽기만 하닷.. 능력있겠다 자기가 하고싶은거 하며 사는게 최고지.. 두번사는인생도아니고,1
인기가많은것도 상당히 피곤한일이겠네요 ㅂㄱㅎ라는 정신나간여자때문에 시끄러워지고,0
멋진남자..멋진배우..,3
내가 한국살면서 젠틀맨 만나본게 다섯손가락도 못채워본듯함...개저씨소굴,0
부럽네요 저 성숙한 국민성이,3
 어떻게 해야 잊을까요,1
박도섭 검사가 김단씨 좋아하는 듯?,2
그래도 당시에 잘했다고 생각하는데 ㅋㅋㅋ,3
근데 토스공부하나도안했는데? 5이상따야하는데 일주일동안 어케공부하지..,1
쉬운 설명과 편안함으로 넘 매력적인 백주부님^^,3
놀러 잘다니내 개부럽다,1
청문회 장에 거짓말 탐지기 투입시켜라,2
청화대불 확!지르자 투쟁!,0
강승윤 기대합니다^^♡~~~,3
노트4도 상성SDI 제품은 불량인데 교체를 않해주더니만 기어코 사고가 나군요.,2
우리도 이런 대통이 부럽다,1
왜 팬이라는 고귀한 단어를 사생들한테도 붙혀쓰는거지???,0
아이폰이랑 갤럭시랑 방수테스트하는거보니 겔럭시가 먼져 저세상가던데??,2
싸이트에는 연령-무 라고 기재해놓고 전화 했더니 죄송합니다.,1
난 안될꺼야 아마..0,1
지기들은 손해볼거 없다는건가,2
아이구 착해라~~~,3
한국은 자연재해나면 정부와 대통령때문이라고 하는 미개한 무식한 것들 많은데 미국은 그런소리 한마디도 안나옴.,2
"김성근 : 내년에 김광현, 양현종, 차우찬 만 잡으면 한화 우승할 수 있다.",2
 우리애가 피부가 조금 약한 것 같아서 ㅠㅠ,1
5만원권 심사임당 만원권 세종대왕 그림을 친일파가 그린그림이라는거 아는사람이 얼마나될까~,2
이순철 감독 부임이후 팀이 예전에 명성을 되찾아 가니까 기분이 무지무지 좋네여!!,3
최강한화 외치던 사람들 다 어디감?ㅋㅋㅋㅋㅋㅋ,3
클린디젤 추진한 사람들 싹다 구속시켜 정부가 추진하고 기업이 만들고 정부가 승인하고 기업이 팔아먹었지만 세금부담은 국민이,0
 여기가 범죄자 최후에 피난처가,2
부산 출장을 왔는데 급하게 업무를 처리할게 있어서요. ㅠㅠㅠㅠ,1
기자가 옹호해주는 건가?,2
택시기사님들이나 교육 잘 시키세요...,2
저번에는 하루만에 18시간근무했어요 늦어서 ㅋㅋㅋㅋㅋㅋㅋ,1
도대체 이 나라에서 맘놓고 믿을 수 있는게 무엇일까요..?,1
최근에 1박2일 김종민 레전드 영상을 봤는데 그렇게 재미있더라구요,3
진심 지석진이 부럽더라. 진짜로 진심,1
사이다~~~속 시원타,3
 어디서 불가능한 소리를...,0
교무실로 오면 저 진짜 죽어요ㅠㅠㅠㅠㅠㅠ,1
 그리고 너무 부러워요.. ㅜ.ㅜ,1
  늘 고맙게 생각합니다.,3
LG화이팅....김민기 화이팅,3
 그리고 발렌타인데이♡ ㅎㅎ,3
비뚤어질거야 ㅗ,1
 증거내놔라 숨기지말고!,0
근데 저 못생긴 딸! 방에 대꼬들가서 좀 두들겨 패주고 싶다.,0
오빠 바쁘신 스케줄에도 글남겨주시구!!!!!,3
 당내 지지가 부족해도 국민의 지지만으로 대통령 후보도 되고 대통령도 되며 잘못하면 대통령도 바꾸는 시스템을 만들어 우리 아이들에게 자식 낳고 행복하게 살고 싶은 미래를 만들어 줍시다.,3
8년만인데 시기가..왜하필지금.,1
은근 나혼자 산다 컨셉이랑 비슷하면서 다르네,2
소환거부하면 달군 인두로 지져버리고 엎어놓고 구두발로 질근질근 밟아 버려라,0
그런 논리면 독도 주고 대마도 받자,0
오늘이랑 어제 춤 완전 짱짱이었어요!!!,3
엠마왓슨이 했어도 잘 어울렸을 것 같긴 함,2
진짜 환경부가 제대로 하는게 뮙니까대체?,0
 이번주는 한 3000명 모아봐라.,2
어떻게 해야됄지 모르겠어요..,1
 만약 방탈이라면 죄송합니다ㅜㅜ,1
그냥 쳐먹어 먹을거 없어,0
흑인92퍼센트 힐러리 지지,2
 지금까지 노력해 줘서 고마워요.,3
자랑스러워요,3
이번 주말부터 검찰 앞으로 100만명 이 모입시다~~~~,2
홧병난거 전국민 병원비 전부 합해서 그네랑 순시리에게 다 손해배상 받아내자.,0
시ㅂ 색귀들 저럴줄알았다,0
 뭐 전에 서울랜드?다른팀 알바생으로 일한적도있고해서근데 막상 면접보러갔더니 내가 맘에안들었나;;;,0
 청년의 앞길에 좋은일만 가득하길 축복합니다.진심!!!,3
끝날때쯤 네캐 누적 1억 돌파할듯대단한 닥터스!!!,3
점 세개가 역삼각형으로 있으면사람의 얼굴로 인식한다. 페러돌리아현상,2
뭘 하고 싶은지 내가 뭘 좋아하는지정말 모르겠어요.,1
진짜 자유다멋있어요,3
왜이렇게 빨리 주연을 맞지..?,2
 스스로 부끄러운줄 알아야지..,0
아 진짜개부럽다ㅠㅠㅠㅠㅠㅠ,1
다른팀에서 돈 더줘서 데리고 가겠네,2
월화수목공유일,3
 90억 노양심이다,0
수지가최고이쁘네. . .,3
하이바써라 못알아보겄다 ㅋ,2
세계전쟁의 주역이 되겠네.,2
이제 뭔 재미로 살아야하나...ㅠㅠ,1
아무것도 손에 안 잡히고 그 분아니면 안 될 것 같고...,1
벌금 올립시다,2
미국압박에 60년대 국교정상화한게 잘못이지,2
최재원 선수 삼성에서 최선을 다하는 모습 감사하고 대선수가 되세요.,3
이런분도 딴나라당 찍으시겠죠....,0
3년 만났는데 어제 서로 마지막으로 이야기도 깊이 나누고 좋게 헤어졌는데 심적으로 많이 힘드네,1
국민의당 안철수는 처음부터 박근혜의 즉각퇴진 또는 탄핵을 외쳤다 .,0
정말 대한민국 우습게 생각하내 저사람들.,0
 이제 정말 힘든 생활만남았네요...이렇게 살수있을까요?,1
탄기국 시위 가야겠다.,2
  그리고 너무 고마워요!,3
좋은일 했네요 이상훈^^,3
탄핵부결되면 국회의원다시뽑읍시당,0
그래봤자 감독이 세이콘,2
중국 내수빼면 처참한 짱깨폰ㅋㅋ,3
근데. . .이렇게 질기게 버티는 닭도 세계적으로 기억될 것. . .ㅠㅠ,0
꺠갱프레싱 후 역습이 본머스 역습을 말하는 거였구나,2
일본이랑 같이 영입싸움이라도 했으면 조금이라도 기대할텐데 ㅋㅋㅋㅋㅋ,1
미남가수 황치열 가창력 짱 섹시 ㅋ,3
ㅋㅋㅋㅋㅋㅋ 억울하면 남자로 다시 태어나든가~ㅋㅋㅋㅋㅋㅋㅋㅋㅋ엌ㅋㅋㅋㅋ,2
울컥..이게 다맞는말이지만 들을때마다 슬프네요..,1
 너무 태어나줘서 고마워요.,3
이런 상황에도 여성부같은데다 돈 쏟아붓고 있으니 다시 나라 잃어도 할말없다,1
진짜 군인됐다면 어디 배치되든 에이스,2
이흥련은 트레이드 카드로 쓸려고 지명하거래잖아,2
아 진짜 생머리이신 분들..복받은겁니다...0,1
트럼프 짱짱맨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3
"오빠, 정말 축하드리고, 진심 사랑합니다.♡",3
인간은 성악설이다,2
불문과 강사 어떠냐고왜 조언 안 해주냐고ssㅑㅇ아아아아아으,1
S6처럼 공짜폰 되면 사야지,2
다시 한번 정말 축하드립니다~!!,3
일단 다른언어들은 언어 하나가1비트 단순문자인데 한국어만 2비트 복합문자라서 디지털신호로 변환하기가 어려움,2
과열된 대한민국을 바른 방향으로 바로 잡눈 방법은 시민이 눈을 뜨는것입니다,2
겨울바다에 쳐 넣을년,0
대구 지금 비옴...,1
받을만해요 ~~ 앞으로도 계속 승승장구 하시길,3
"재석오빠,늦었지만 생일(생신)축하들려요~!!",3
특검팀 최선을 다하는모습 멋져요~,3
언론해체에 촛불듭시다,0
울나라에서 생존할려면 과학은 절대 하지말라고 교수님이 말씀하셨지,2
나두..래원사랑♡♡♡,3
청와대가 범죄자 집단이네,0
닭대갈 정부.. ㅋㅋㅋ 그렇게 국민들이 경고 했건만 안듣더라니..,3
중국때문이지 뭔 소리야..,2
어제 그 뮤직비디오 잊지 못합니다 ..,3
영화관에서한번보고끝내기아까운영회,3
이라크와 시리아에 폭탄을 트럭째 쏫아 붓겟네 !!,0
판사들도 최순실 게이트에 관여되어있나? 어디까지야 이거!,0
롯데야 니는 아예 저런 놈 들일 생각하지마라!!!,0
역시 차세대 MC...,3
댓글 감사합니다.,3
 일본에는 둥근집이있던데 부러웠다,1
1분뒤에 노래나온다!,3
이거에 그리 기여한바는 없지만 너무너무 축하해요 ㅠㅠㅠ,3
치킨은 감독이 문제가 아니라 팬이 더문제다...,0
피 똥을 싸봐야 정신 차리지,0
그네처럼찬성표던지고 웃으면서내려오자 골빈년,0
오늘 집회장소는 바로 한강!,2
올레~~지창욱 너므조아 헤헤 창욱씨~~잉 ㅋ,3
국회의원 돼지처럼 웃는 사진 걸어놓고 ' 감사합니다. 국민 여러분' 이라는 문구 새겨넣으면 50퍼센트 판매량이 줄거다.,2
오!한일전 플레이오프 나쁘지않네 ㅋ,2
일본애만 좋아하네 ㅡ.ㅡ,2
양심이 없어 이건 매로도 안된다,0
세월호 배가 침수했을때 아이들이 얼마나 무서웠을까 생각이 안들었냐????,0
이마트에서 대란이 6900원이던데.. 기사는 딴세상인가,0
어쩜 요리를 그리 쉽게 잘 가르치시는지 부럽네요.,3
처음에는 그래도 잘 되고 있다고 생각했는데 요즘은 너무 힘드네요..,1
공감 하지마.,0
연봉 높으니까 이런 얘기라도 나오는거지,1
정유라 댓글 보고 있는 모양임. 죄다 반대 하나씩ㅋㅋㅋ,3
그러면서 뚱뚱한거좀보라고 수근거리시더라고요....,1
9급 공무원 시험 합격하는게 박사되기 보다 어려운게 우리 현실이다.,1
자신감도 자꾸 떨어지고..,1
롯데쌤통이다ㅋㅋㅋㅋ,3
이번 정부는 뭐든 하는 꼬라지들보면 진짜 역대급인거같다,0
베트남이 왜 망했는지 교훈을 보고도 정신못차린 미개한 국민들 북한처럼 살고 싶어 환장한듯,0
 역사에 길이남을 명언을 남겼지..,3
수입차는 상관없음,3
트럼프는 자국을 위해서 일하지만 하지만 닭그네는 나라를 팔아먹은년이다,0
한우 비싸서... 티비서 눈으로만 먹습니다. ㅠ,1
최고입니다... 진짜 믿고보게하는 작가인듯...,3
CCTV가약이네요,3
미국식 형사처벌과 징벌적 손해배상이 더 중요하다면 찬성. 박근혜 탄핵이 더 중요하다면 반대 눌러주세요.,2
이쁘면 다 용서된다,2
더러운육신덩어리들!!!!,0
 김영삼 김대중 노무현 거치면서 비정규직만 잔뜩 늘어나고..,1
언젠가 우리가 동물원에 갇히는날이 올것같다.,0
우리나라 전쟁나면 명품백부터 챙길놈들이 뭔 군대 예기를 하며 군대에 대해서 신경쓰고 난리야..,0
그래도 데파이는 군대는 안간다 ㅠㅠ,1
상가집갈라고 급하게 서둘르다가 psp를 밟아버렸네요,1
가서 푹자면 감기가 다 나으려나,1
미국 불체자 추방해라!,0
양키새끼들 지들껀 줜니 감싸네,0
보기좋은 단란한가족^^,3
kt에서 댈꼬 갈것 같넹 ㅁㅁ,2
아니 무슨 매크로 돌리냐,2
미국다운 멋진 행동이다...,3
 답답해서 글남겨봅니다0,1
 슬슬 힘들기도 합니다.,1
저는 이제 막 3주인데..몸무게가 3KG나 늘었네요 ㅠㅠㅠㅠ,1
 어휴 뻔뻔하고 가증스런 년들!!!!!!,0
 다 사형시켜야 한다!,0
일본도 장단점이 있거늘!!,0
? 예단에서 틀어져서예비신부가 파혼을 생각하고잇는것같아요..,1
"외국인 감독 2번째가 아닌 거 같은데, 두산도 한 번, 그리고 현역 감독도 일본 사란 한 명 있잖수?",2
 우파한테 종북이라고 하면 그냥 무시한다.,2
